consumer,product,appearance
1,T1,6
1,T2,7
1,T3,6
1,T4,6
1,T5,3
1,T6,7
1,T7,6
1,T8,3
1,T9,7
1,T10,9
2,T1,6
2,T2,6
2,T3,2
2,T4,2
2,T5,8
2,T6,3
2,T7,5
2,T8,5
2,T9,7
2,T10,8
3,T1,4
3,T2,9
3,T3,9
3,T4,8
3,T5,2
3,T6,7
3,T7,3
3,T8,7
3,T9,9
3,T10,8
4,T1,3
4,T2,3
4,T3,7
4,T4,6
4,T5,7
4,T6,7
4,T7,7
4,T8,5
4,T9,8
4,T10,9
5,T1,7
5,T2,8
5,T3,8
5,T4,8
5,T5,8
5,T6,6
5,T7,7
5,T8,6
5,T9,6
5,T10,9
6,T1,4
6,T2,8
6,T3,2
6,T4,3
6,T5,4
6,T6,5
6,T7,4
6,T8,6
6,T9,2
6,T10,9
7,T1,5
7,T2,8
7,T3,7
7,T4,5
7,T5,5
7,T6,6
7,T7,6
7,T8,5
7,T9,4
7,T10,9
8,T1,7
8,T2,8
8,T3,5
8,T4,6
8,T5,5
8,T6,6
8,T7,7
8,T8,7
8,T9,7
8,T10,9
9,T1,5
9,T2,7
9,T3,7
9,T4,6
9,T5,8
9,T6,8
9,T7,5
9,T8,5
9,T9,6
9,T10,6
10,T1,5
10,T2,6
10,T3,6
10,T4,6
10,T5,5
10,T6,6
10,T7,7
10,T8,6
10,T9,6
10,T10,9
11,T1,8
11,T2,9
11,T3,7
11,T4,6
11,T5,4
11,T6,7
11,T7,6
11,T8,8
11,T9,3
11,T10,8
12,T1,8
12,T2,9
12,T3,8
12,T4,5
12,T5,8
12,T6,8
12,T7,8
12,T8,6
12,T9,2
12,T10,9
13,T1,8
13,T2,8
13,T3,8
13,T4,7
13,T5,7
13,T6,7
13,T7,6
13,T8,6
13,T9,2
13,T10,8
14,T1,3
14,T2,7
14,T3,7
14,T4,7
14,T5,8
14,T6,8
14,T7,8
14,T8,5
14,T9,8
14,T10,8
15,T1,7
15,T2,6
15,T3,8
15,T4,7
15,T5,8
15,T6,4
15,T7,6
15,T8,6
15,T9,3
15,T10,9
